fileName,dissection,fishID,Position,diameter,base,height,length,fishLength,PoLA,orientation,MaxBend,cycle1MaxIndex,cycle1MaxLoad,cycle1Work,cycle2MaxIndex,cycle2MaxLoad,cycle2Work,cycle3MaxIndex,cycle3MaxLoad,cycle3Work,cycle4MaxIndex,cycle4MaxLoad,cycle4Work,cycle5MaxIndex,cycle5MaxLoad,cycle5Work
./SturgeonColumnBendingDorsoventral_combined_Specimen 1.csv,column,2401-01,Position 1,,0.965,1.621,4,37.7,,Dorso,5,455,3.964778185,8.722499957,455,3.336975813,8.722499957,452,3.134717703,8.648808785,450,2.978636265,8.599582712,446,2.851400852,8.501583341
./SturgeonColumnBendingDorsoventral_combined_Specimen 2.csv,column,2401-01,Position 2,,0.965,1.621,4,37.7,,Dorso,5,454,2.751635313,5.132076498,453,2.379148245,5.112999858,455,2.215855837,5.151070044,450,2.093856335,5.055513494,445,2.026621103,4.959841006
./SturgeonColumnBendingDorsoventral_combined_Specimen 3.csv,column,2401-01,Position 3,,0.731,1.465,4,37.7,,Dorso,5,454,1.963232279,3.519490546,452,1.758276463,3.49161504,452,1.656042814,3.49161504,447,1.56054318,3.421670935,447,1.506820202,3.421670935
./SturgeonColumnBendingDorsoventral_combined_Specimen 4.csv,column,2401-01,Position 4,,0.798,1.074,4,37.7,,Dorso,5,455,2.742418766,5.067553517,456,2.240152121,5.086544899,453,2.058349609,5.029419436,451,1.918661356,4.991083595,446,1.833411336,4.895799234
./SturgeonColumnBendingDorsoventral_combined_Specimen 5.csv,column,2401-02,Position 1,,0.935,1.592,4,37.5,,Dorso,5,452,3.094716072,6.533942829,454,2.683197737,6.573354144,450,2.459095955,6.494251369,447,2.356518507,6.434367268,445,2.269179821,6.394555975
./SturgeonColumnBendingDorsoventral_combined_Specimen 6.csv,column,2401-03,Position 1,,0.962,2.055,4,38.6,,Dorso,5,454,2.822863817,6.23638212,453,2.45414257,6.218963032,447,2.280261755,6.113496106,446,2.164981842,6.096017512,446,2.087829351,6.096017512
./SturgeonColumnBendingDorsoventral_combined_Specimen 7.csv,column,2401-03,Position 2,,0.962,2.055,4,38.6,5,Dorso,5,398,2.782118797,5.24478377,441,2.138247967,5.945446662,444,1.873733759,5.986446029,445,1.74991858,6.000198112,444,1.685103774,5.986446029
./SturgeonColumnBendingDorsoventral_combined_Specimen 8.csv,column,2401-03,Position 3,,0.944,1.873,4,38.6,5,Dorso,5,452,3.058066845,6.144779431,454,2.477202654,6.185047747,450,2.204581976,6.104065947,445,2.048748732,6.001813787,447,1.891553998,6.042705394
./SturgeonColumnBendingDorsoventral_combined_Specimen 9.csv,column,2401-04,Position 1,,1.063,1.989,4,39.7,5,Dorso,5,271,1.435201049,3.343198734,264,1.333815694,3.243965921,267,1.321965575,3.286419544,270,1.315395236,3.328975997,265,1.285156012,3.258090748
./SturgeonColumnBendingDorsoventral_combined_Specimen 10.csv,column,2401-04,Position 2,,1.063,1.989,4,39.7,5,Dorso,5,271,1.146133542,2.221101572,276,0.946314752,2.283550916,273,0.8791399,2.246686948,269,0.8478508,2.195139777,264,0.823384404,2.129638361
