,FishID,Position,Gage,diameter,base,height,dissection,cycle1MaxAngle,cycle1MaxIndex,cycle1MaxLoad,cycle2MaxAngle,cycle2MaxIndex,cycle2MaxLoad,cycle3MaxAngle,cycle3MaxIndex,cycle3MaxLoad
./SturgeonColumnTorsion_combined_Specimen 1.csv,2401-01,1,50,,0.965,1.621,column,30.00072098,186,0.008630439,30.00079918,143,0.007727625,30.00079918,82,0.007278052
./SturgeonColumnTorsion_combined_Specimen 2.csv,2401-01,2,54,,0.731,1.465,column,30.00057983,197,0.002818156,30.0007782,149,0.00264886,30.00071716,84,0.002525779
./SturgeonColumnTorsion_combined_Specimen 3.csv,2401-01,3,48,,0.798,1.074,column,30.00077629,193,0.003692233,30.00085258,151,0.003359654,30.00087357,90,0.003303904
./SturgeonColumnTorsion_combined_Specimen 4.csv,2401-01,4,57,,0.656,0.783,column,30.00080681,202,0.000838899,30.00072289,169,0.000866662,30.00086403,91,0.000795562
./SturgeonColumnTorsion_combined_Specimen 5.csv,2401-02,1,62,,0.935,1.592,column,30.00070763,208,0.005577405,30.0007267,161,0.005138121,30.00088882,96,0.004933319
./SturgeonColumnTorsion_combined_Specimen 6.csv,2401-03,1,61,,0.962,2.055,column,30.00072098,190,0.00837094,30.00066948,157,0.007458156,30.0007782,87,0.007116435
./SturgeonColumnTorsion_combined_Specimen 7.csv,2401-03,2,48,,0.944,1.873,column,30.00070953,188,0.003094232,30.00078773,155,0.002887087,30.00082588,91,0.002781782
./SturgeonColumnTorsion_combined_Specimen 8.csv,2401-03,3,50,,0.789,1.2,column,30.0006218,203,0.002144226,30.00069237,160,0.001979665,30.00073814,88,0.001925108
./SturgeonColumnTorsion_combined_Specimen 10.csv,2401-04,1,67,,1.063,1.989,column,30.00074768,191,0.001633165,30.00077057,153,0.001470964,30.00075912,88,0.001458473
./SturgeonColumnTorsion_combined_Specimen 11.csv,2401-04,2,54,,0.91,1.944,column,30.00118065,184,0.006994603,30.00102234,144,0.006189089,30.00098228,78,0.005886511
./SturgeonColumnTorsion_combined_Specimen 12.csv,2401-04,3,56,,0.894,1.653,column,30.00095177,185,0.003078978,30.00105286,146,0.002811364,30.00080299,86,0.002698116
./SturgeonColumnTorsion_combined_Specimen 13.csv,2401-04,4,55,,0.813,1.236,column,30.00130272,191,0.001814916,30.00110626,155,0.001707517,30.00121307,83,0.001617067
./SturgeonColumnTorsion_combined_Specimen 14.csv,2401-05,1,78,,1.005,2.194,column,30.00093651,197,0.00079246,30.00089073,154,0.000691832,30.00110245,79,0.000679033
./SturgeonColumnTorsion_combined_Specimen 15.csv,2401-05,2,53,,1.156,2.104,column,30.00095177,190,0.005239197,30.00107574,148,0.004704368,30.00107765,84,0.00450325
./SturgeonColumnTorsion_combined_Specimen 16.csv,2401-05,3,52,,0.925,1.515,column,30.00104332,204,0.002395404,30.00102615,151,0.00220661,30.00099754,82,0.002111817
./SturgeonColumnTorsion_combined_Specimen 17.csv,2401-05,4,51,,0.935,1.359,column,30.0010643,194,0.001623783,30.00094795,156,0.001524134,30.0010128,91,0.001444694
./SturgeonColumnTorsion_combined_Specimen 18.csv,2401-06,1,53,,0.879,1.772,column,30.00066185,208,0.001007425,30.00113297,152,0.000954553,30.00048256,105,0.000934156
./SturgeonColumnTorsion_combined_Specimen 19.csv,2401-06,2,46,,0.955,1.91,column,30.00109291,193,0.011796315,30.00104523,157,0.010131689,30.00107574,87,0.009422282
./SturgeonColumnTorsion_combined_Specimen 20.csv,2401-06,3,49,,0.823,1.47,column,30.00101089,194,0.002316593,30.00120544,151,0.002138938,30.00111198,89,0.002020253
./SturgeonColumnTorsion_combined_Specimen 21.csv,2401-06,4,46,,0.632,0.915,column,30.00077629,195,0.000944234,29.99995422,183,0.000889174,30.00122452,82,0.000884055
./SturgeonColumnTorsion_combined_Specimen 22.csv,2401-07,1,65,,0.802,1.613,column,30.00101471,189,0.000782242,30.00102043,156,0.000709927,29.99997139,135,0.000684539
./SturgeonColumnTorsion_combined_Specimen 23.csv,2401-07,2,44,,0.767,1.436,column,30.00124741,184,0.004917698,30.00114632,144,0.004449502,30.00138855,84,0.004209032
./SturgeonColumnTorsion_combined_Specimen 24.csv,2401-07,3,51,,0.758,1.377,column,30.00117493,209,0.002626402,30.00104332,160,0.002440819,30.00128746,93,0.002291502
./SturgeonColumnTorsion_combined_Specimen 25.csv,2401-07,4,50,,0.668,1.08,column,30.0012455,211,0.001463103,30.00128555,167,0.001375929,30.00109482,98,0.00132852
./SturgeonColumnTorsion_combined_Specimen 26.csv,2401-08,1,56,,0.789,2.228,column,30.00118256,211,0.000795442,30.00150108,162,0.000757095,30.00136185,87,0.000776577
./SturgeonColumnTorsion_combined_Specimen 27.csv,2401-08,2,47,,0.934,1.907,column,30.0015831,185,0.004853385,30.00136375,141,0.004389364,30.00140381,87,0.004296656
./SturgeonColumnTorsion_combined_Specimen 28.csv,2401-08,3,50,,0.833,1.452,column,30.0012207,200,0.004197403,30.00137138,165,0.003765468,30.00163269,101,0.003594016
./SturgeonColumnTorsion_combined_Specimen 29.csv,2401-08,4,53,,0.611,0.916,column,30.00139046,196,0.001756446,30.00144196,151,0.001606749,30.00144768,74,0.001513602
./SturgeonColumnTorsion_combined_Specimen 30.csv,2401-09,1,64,,0.907,2.099,column,30.00131989,205,0.000926167,30.0014267,162,0.000849048,30.00120735,98,0.000827865
./SturgeonColumnTorsion_combined_Specimen 31.csv,2401-09,2,50,,0.803,1.821,column,30.00142097,194,0.007952382,30.0014267,161,0.007111147,30.00156403,93,0.006647569
./SturgeonColumnTorsion_combined_Specimen 32.csv,2401-09,3,51,,0.789,1.182,column,30.00135422,204,0.002173478,30.00123978,171,0.001950052,30.00137901,95,0.00186863
./SturgeonColumnTorsion_combined_Specimen 33.csv,2401-09,4,55,,0.697,1.091,column,30.00115776,203,0.001832513,30.00110054,175,0.001692624,30.00128174,103,0.001617329
./SturgeonColumnTorsion_combined_Specimen 34.csv,2401-10,1,58,,0.911,2.275,column,30.00125313,195,0.000797335,30.00130653,165,0.000682519,30.00134659,85,0.00069164
./SturgeonColumnTorsion_combined_Specimen 35.csv,2401-10,2,51,,0.84,2.017,column,30.00136948,184,0.005974199,30.00129509,150,0.005422069,30.00078392,94,0.005315582
./SturgeonColumnTorsion_combined_Specimen 36.csv,2401-10,3,53,,0.855,1.763,column,30.00148392,192,0.003167357,30.00118828,156,0.00296088,30.0014286,92,0.002797202
./SturgeonColumnTorsion_combined_Specimen 37.csv,2401-10,4,54,,0.814,1.286,column,30.001297,230,0.002507514,30.00109863,176,0.002278943,30.00121498,97,0.002138082
./SturgeonNotochordTorsion_Combined_Specimen 1.csv,2401-04,1,22,6,,,notochord,30.00134087,209,0.001477986,30.00138474,172,0.001368654,30.00123405,102,0.001268984
./SturgeonNotochordTorsion_Combined_Specimen 2.csv,2401-04,2,37,6,,,notochord,24.65017128,153,0.000336082,30.00020599,389,0.000337663,29.86429405,55,0.000280923
./SturgeonNotochordTorsion_Combined_Specimen 3.csv,2401-04,4,35,5,,,notochord,30.00102806,187,0.000236397,30.00021553,144,0.000234976,30.00014877,178,0.000212009
./SturgeonNotochordTorsion_Combined_Specimen 4.csv,2401-06,1,22,6,,,notochord,30.00004959,281,0.000211706,30.00006294,447,0.000173707,29.99993515,126,0.000199717
./SturgeonNotochordTorsion_Combined_Specimen 5.csv,2401-06,2,47,5,,,notochord,28.90341568,174,0.000210524,30.00005531,245,0.000242382,30.00004005,279,0.000253792
./SturgeonNotochordTorsion_Combined_Specimen 6.csv,2401-06,3,37,5,,,notochord,30.00026894,250,0.000210771,29.80606461,152,0.000228091,29.99992561,300,0.000164617
./SturgeonNotochordTorsion_Combined_Specimen 7.csv,2401-06,4,50,5,,,notochord,30.00005531,399,0.000143074,29.09261513,467,0.000130586,30.00005341,358,0.000165042
./SturgeonNotochordTorsion_Combined_Specimen 8.csv,2401-05,1,25,6,,,notochord,30.00001717,283,0.000137009,30.00006104,454,0.000140296,30.00006485,148,0.000128346
./SturgeonNotochordTorsion_Combined_Specimen 9.csv,2401-05,2,59,6,,,notochord,30.00003242,380,0.000212858,30.00001907,224,0.000256945,30.00008583,260,0.000233038
./SturgeonNotochordTorsion_Combined_Specimen 10.csv,2401-05,3,51,6,,,notochord,30.00001144,255,0.000195575,29.99997711,211,0.000196876,29.88197899,82,0.000175071
./SturgeonNotochordTorsion_Combined_Specimen 11.csv,2401-05,4,51,5.5,,,notochord,30.00082588,193,0.000223245,30.0000267,442,0.000178695,29.97331238,75,0.000197658
./SturgeonNotochordTorsion_Combined_Specimen 12.csv,2401-07,2,45,5,,,notochord,30.00001717,288,0.000150013,28.30790329,149,0.000142506,30.0001297,231,0.000106264
./SturgeonNotochordTorsion_Combined_Specimen 13.csv,2401-07,3,43,5,,,notochord,30.00008392,237,0.00020272,30.00065804,182,0.000172908,29.99970245,392,0.000168336
./SturgeonNotochordTorsion_Combined_Specimen 14.csv,2401-07,4,28,4,,,notochord,29.9998436,355,0.000190594,29.99993134,397,0.000201926,30.00001907,211,0.000203314
./SturgeonNotochordTorsion_Combined_Specimen 15.csv,2401-08,1,24,4,,,notochord,30.00012398,425,0.000251847,30.00005913,268,0.000179584,30.00007629,350,0.000172939
./SturgeonNotochordTorsion_Combined_Specimen 16.csv,2401-08,2,54,5.5,,,notochord,30.00021362,235,0.000166892,26.14612198,487,0.000147187,30.00003433,294,0.000136124
./SturgeonNotochordTorsion_Combined_Specimen 17.csv,2401-08,3,43,5,,,notochord,29.99988556,323,0.00018416,29.99990845,274,0.000192673,29.99988556,219,0.000144008
./SturgeonNotochordTorsion_Combined_Specimen 18.csv,2401-08,4,33,5,,,notochord,30.00110245,204,0.000223576,29.9997139,205,0.000202158,29.99975395,251,0.000199357
./SturgeonNotochordTorsion_Combined_Specimen 19.csv,2401-09,1,31,5.5,,,notochord,29.99996948,412,0.000203815,29.99991226,417,0.000140109,29.99991226,347,0.000167567
./SturgeonNotochordTorsion_Combined_Specimen 20.csv,2401-09,2,53,6,,,notochord,29.99994469,316,0.000244336,29.88472366,463,0.000194563,30.00120163,90,0.000205934
./SturgeonNotochordTorsion_Combined_Specimen 21.csv,2401-09,3,44,5,,,notochord,30.00026894,214,0.000270635,30.00136185,152,0.000273898,29.99990463,355,0.000205372
